pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
       50    0.000    0.000    0.062    0.001 __init__.py:3002(_reload_version)
        1    0.000    0.000    0.036    0.036 requirements.py:4(<module>)
      694    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
